movie_id,title,release_year,director,imdb_rating,imdb_rank,metacritic_rating,metacritic_rank,rotten_tomato_rating,rotten_tomato_rank,actor1,character1,actor2,character2,actor3,character3,actor4,character4,actor5,character5,production_company_id,production_company,company_founding_year,headquarters_country,headquarters_city,imdb_url,metacritic_url,rotten_tomato_url,wikipedia_url
894020390,Seven Samurai,1956,Akira Kurosawa,8.6,NA,98,24,100,4,Toshiro Mifune,Kikuchiyo,Takashi Shimura,Kambei Shimada,Yoshio Inaba,Gorobei Katayama,Seiji Miyaguchi,Kyuzo,Minoru Chiaki,Heinachi Hayashida,1117667735,Toho,1932,Japan,Tokyo,https://www.imdb.com/title/tt0047478/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_seven%2520sa,https://www.metacritic.com/movie/seven-samurai-1954/,https://www.rottentomatoes.com/m/seven_samurai_1956,https://en.wikipedia.org/wiki/Seven_Samurai
251907923,Parasite,2019,Bong Joon Ho,8.5,NA,97,NA,99,5,Song Kang-Ho,Ki Taek,Leen Sun-Kyun,Dong Ik,Cho Yeo-Jeong,Yeon Kyo,Choi Woo-Sik,Ki Woo,Park So-Dam,Ki Jung,527182155,Barunson E&A,1996,South Korea,Seoul,https://www.imdb.com/title/tt6751668/?ref_=nv_sr_srsg_3_tt_2_nm_6_in_0_q_paras,https://www.metacritic.com/movie/parasite/,https://www.rottentomatoes.com/m/parasite_2019,https://en.wikipedia.org/wiki/Parasite_(2019_film)
1520277541,Top Gun: Maverick,2022,Joseph Kosinski,8.2,NA,78,NA,96,7,Tom Cruise,Captain Pete 'Maverick' Mitchell,Val Kilmer,Admiral Tom 'Iceman' Kazansky,Miles Teller,Lieutenant Bradley 'Rooster' Bradshaw,Jennifer Connelly,Penny Benjamin,Bashir Salahuddin,CWO4 Bernie 'Hondo' Coleman,1206236101,Paramount Pictures,1912,United States,Hollywood CA,https://www.imdb.com/title/tt1745960/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_top%2520gun%2520ma,https://www.metacritic.com/movie/top-gun-maverick/,https://www.rottentomatoes.com/m/top_gun_maverick,https://en.wikipedia.org/wiki/Top_Gun:_Maverick
621794419,Toy Story 2,1999,Ash Brannon,7.9,NA,88,NA,100,8,Tom Hanks,Woody,Tim Allen,Buzz Lightyear,Joan Cusack,Jessie,Kelsey Grammer,Prospector,Don Rickles,Mr. Potato Head,1997637385,Pixar Animation Studios,1986,United States,Emeryville CA,https://www.imdb.com/title/tt0120363/?ref_=nv_sr_srsg_9_tt_7_nm_0_in_0_q_toy%2520sto,https://www.metacritic.com/movie/toy-story-2/,https://www.rottentomatoes.com/m/toy_story_2,https://en.wikipedia.org/wiki/Toy_Story_2
1764633906,Chinatown,1974,Roman Polanski,8.1,NA,92,NA,98,9,Jack Nicholson,J.J. Gittes,Faye Dunaway,Evelyn Mulwray,John Huston,Noah Cross,Perry Lopez,Escobar,John Hillerman,Yelburton,1106754834,Long Road Productions,NA,NA,NA,https://www.imdb.com/title/tt0071315/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_chinat,https://www.metacritic.com/movie/chinatown/,https://www.rottentomatoes.com/m/chinatown,https://en.wikipedia.org/wiki/Chinatown_(1974_film)
1579164841,On The Waterfront,1954,Elia Kazan,8.1,NA,91,NA,99,10,Marlon Brando,Terry Malloy,Lee J. Cobb,Johnny Friendly,Karl Malden,Father Barry,Rod Steiger,Charley 'The Gent' Malloy,Eva Marie Saint,Edie Doyle,541771269,Horizon Pictures,1947,United Kingdom,NA,https://www.imdb.com/title/tt0047296/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_on%2520the%2520wat,https://www.metacritic.com/movie/on-the-waterfront/,https://www.rottentomatoes.com/m/on_the_waterfront,https://en.wikipedia.org/wiki/On_the_Waterfront
348536626,The Battle of Algiers,1967,Gillo Pontecorvo,8.1,NA,96,NA,99,11,Jean Martin,Colonel Philippe Mathieu,Saadi Yacef,El-Hadi Jafar,Brahim Haggiag,Ali La Pointe,Tommaso Neri,Captain Dubois,Samia Kerbash,Fathia,608805325,Igor Film,NA,Italy,NA,https://www.imdb.com/title/tt0058946/?ref_=nv_sr_srsg_4_tt_8_nm_0_in_0_q_the%2520battle%2520of,https://www.metacritic.com/movie/the-battle-of-algiers/,https://www.rottentomatoes.com/m/the_battle_of_algiers,https://en.wikipedia.org/wiki/The_Battle_of_Algiers
1604333879,Toy Story   ,1995,John Lasseter,8.3,NA,96,NA,100,12,Tom Hanks,Woody,Tim Allen,Buzz Lightyear,Don Rickles,Mr. Potato Head,Jim Varney,Slinky Dog,Wallace Shawn,Rex,1997637385,Pixar Animation Studios,1986,United States,Emeryville CA,https://www.imdb.com/title/tt0114709/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_toy%2520sto,https://www.metacritic.com/movie/toy-story/,https://www.rottentomatoes.com/m/toy_story,https://en.wikipedia.org/wiki/Toy_Story
870673075,Rear Window,1954,Alfred Hitchcock,8.5,NA,100,11,98,13,James Stewart,L.B. Jeffries,Grace Kelly,Lisa Fremont,Wendell Corey,Tom Doyle,Thelma Ritter,Stella,Raymond Burr,Lars Thorwald,1974516274,Patron Inc.,NA,NA,NA,https://www.imdb.com/title/tt0047396/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_rear,https://www.metacritic.com/movie/rear-window/,https://www.rottentomatoes.com/m/1017289-rear_window,https://en.wikipedia.org/wiki/Rear_Window
1904087280,Modern Times,1936,Charlie Chaplin,8.5,NA,96,NA,98,14,Charlie Chaplin,Factory Worker 'The Tramp',Paulette Goddard,Ellen Peterson 'The Gamin',Henry Bergman,Cafe Owner,Stanley Sandford,Big Bill,Chester Conklin,Mechanic,1827073771,Charles Chaplin Productions,NA,NA,NA,https://www.imdb.com/title/tt0027977/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_modern%2520times,https://www.metacritic.com/movie/modern-times-re-release/,https://www.rottentomatoes.com/m/modern_times,https://en.wikipedia.org/wiki/Modern_Times_(film)
1599220560,How to Train Your Dragon,2010,Christopher Sanders/Dean DeBlois,8.1,NA,75,NA,99,15,Jay Baruchel,Hiccup,America Ferrera,Astrid,Gerard Butler,Stoick,Craig Ferguson,Gobber,Christopher Mintz-Plasse,Fishlegs,147781542,DreamWorks Animation,1994,United States,Glendale CA,https://www.imdb.com/title/tt26743210/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_how%2520to%2520train,https://www.metacritic.com/movie/how-to-train-your-dragon/,https://www.rottentomatoes.com/m/how_to_train_your_dragon,https://en.wikipedia.org/wiki/How_to_Train_Your_Dragon_(2010_film)
1154659227,All About Eve,1950,Joseph L. Mankiewics,8.2,NA,98,NA,99,16,Bette Davis,Margo Channing,Anne Baxter,Eve Harrington,George Sanders,Addison DeWitt,Celeste Holm,Karen Richards,Gary Merrill,Bill Sampson,1855449249,20th Century Fox,1935,United States,Los Angeles CA,https://www.imdb.com/title/tt0042192/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_all%2520about%2520eve,https://www.metacritic.com/movie/all-about-eve/,https://www.rottentomatoes.com/m/1000626-all_about_eve,https://en.wikipedia.org/wiki/All_About_Eve
304861570,Spirited Away,2002,Hayao Miyazaki,8.6,NA,96,NA,96,17,Daveigh Chase,Chihiro Ogino,Suzanne Pleshette,Yububa / Zeniba,Jason Marsden,Haku,Susan Egan,Lin,David Ogden Stiers,Kamaji,88360166,Studio Ghibli,1985,Japan,Tokyo,https://www.imdb.com/title/tt0245429/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_spirite,https://www.metacritic.com/movie/spirited-away/,https://www.rottentomatoes.com/m/spirited_away,https://en.wikipedia.org/wiki/Spirited_Away
1756517886,Up,2009,Pete Docter/Bob Peterson,8.3,NA,88,NA,98,18,Edward Asner,Carl Fredericksen,Jordan Nagai,Russel,John Ratzenberger,Construction Foreman,Christopher Plummer,Charles Muntz,Bob Peterson,Dug,1997637385,Pixar Animation Studios,1986,United States,Emeryville CA,https://www.imdb.com/title/tt1049413/?ref_=fn_al_tt_1,https://www.metacritic.com/movie/up/,https://www.rottentomatoes.com/m/up,https://en.wikipedia.org/wiki/Up_(2009_film)
2084554881,The Third Man,1949,Carol Reed,8.1,NA,97,NA,99,19,Orson Welles,The Third Man,Joseph Cotten,Holly Martins,Trevor Howard,Major Calloway,Alida Valli,Anna Schmidt,Paul Hoerbiger,Porter,923038318,London Films,1932,United Kingdom,Buckinghamshire,https://www.imdb.com/title/tt0041959/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_the%2520third%2520man,https://www.metacritic.com/movie/the-third-man/,https://www.rottentomatoes.com/m/the_third_man,https://en.wikipedia.org/wiki/The_Third_Man
460482582,Spotlight,2015,Tom McCarthy,8.1,NA,93,NA,97,20,Mark Ruffalo,Mike Rezendes,Michael Keaton,Walter 'Robby' Robinson,Rachel McAdams,Sacha Pfeiffer,Liev Schreiber,Marty Baron,John Slattery,Ben Bradlee Jr.,17518151,Participant Media,2004,United States,Los Angeles CA,https://www.imdb.com/title/tt1895587/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_spotlight,https://www.metacritic.com/movie/spotlight/,https://www.rottentomatoes.com/m/spotlight_2015,https://en.wikipedia.org/wiki/Spotlight_(film)
559276553,Spider-Man: Into the Spider-Verse,2018,Bob Persichetti/Peter Ramsey/Rodney Rothman,8.4,NA,87,NA,97,21,Shameik Moore,Miles Morales,Jake Johnson,Peter Parker,Hailee Steinfeld,Gwen Stacey,Mahershala Ali,Uncle Aaron,John Mulaney,Spider-Ham,608444546,Columbia Pictures,1918,United States,Culver City CA,https://www.imdb.com/title/tt4633694/?ref_=nv_sr_srsg_5_tt_8_nm_0_in_0_q_spiderman%2520into,https://www.metacritic.com/movie/spider-man-into-the-spider-verse/,https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse,https://en.wikipedia.org/wiki/Spider-Man:_Into_the_Spider-Verse
2097654371,The Philadelphia Story,1940,George Cukor,7.8,NA,96,NA,100,22,Katherine Hepburn,Tracy Lord,Cary Grant ,C.K. Dexter Haven,James Stewart,Macaulay 'Mike' Connor,Ruth Hussey,Elizabeth 'Liz' Imbrie,John Howard,George Kittredge,1604338439,Metro-Goldwyn-Mayer,1924,United States,Beverly Hills CA,https://www.imdb.com/title/tt0032904/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_the%2520philad,https://www.metacritic.com/movie/the-philadelphia-story/,https://www.rottentomatoes.com/m/philadelphia_story,https://en.wikipedia.org/wiki/The_Philadelphia_Story_(film)
79863599,Finding Nemo,2003,Andrew Stanton,8.2,NA,90,NA,99,23,Albert Brooks,Marlin,Ellen DeGeneres,Dory,Alexander Gould,Nemo,Willem Dafoe,Gill,Brad Garrett,Bloat,1997637385,Pixar Animation Studios,1986,United States,Emeryville CA,https://www.imdb.com/title/tt0266543/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_finding%2520nemo,https://www.metacritic.com/movie/finding-nemo/,https://www.rottentomatoes.com/m/finding_nemo,https://en.wikipedia.org/wiki/Finding_Nemo
893597994,Singin' in the Rain,1952,Stanley Donen / Gene Kelly,8.3,NA,99,15,100,24,Gene Kelly,Don Lockwood,Debbie Reynolds,Kathy Selden,Donald O'Conner,Cosmo Brown,Jean Hagen,Lina Lamont,Millard Mitchell,R.F. Simpson,1604338439,Metro-Goldwyn-Mayer,1924,United States,Beverly Hills CA,https://www.imdb.com/title/tt0045152/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_singin%2520in%2520the%2520rain,https://www.metacritic.com/movie/singin-in-the-rain/,https://www.rottentomatoes.com/m/singin_in_the_rain,https://en.wikipedia.org/wiki/Singin%27_in_the_Rain
1458767573,Dekalog,1988,Krzysztof Kieslowski,8.9,NA,100,1,NA,NA,Artur Barcis,Many characters,Olgierd Lukaszewics,Andrzej Geller,Olaf Lubaszenko,Tomek,Aleksander Bardini,Consultant,Krystyna Janda,Dorota Geller,1633552414,"Zespol Filmowy ""Tor""",1972,NA,NA,https://www.imdb.com/title/tt0092337/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_dekalo,https://www.metacritic.com/movie/dekalog-1988/,NA,https://en.wikipedia.org/wiki/Dekalog
